date,Equity Equal Weight,Equity Min Vol,Equity Tangency,Equity Risk Parity,Crypto Equal Weight,Crypto Min Vol,Crypto Tangency,Crypto Risk Parity,Combined Equal Weight,Combined Min Vol,Combined Tangency,Combined Risk Parity,MarketPulse TailGuard,Sentiment Tilt Equity
2021-01-01,,,,,0.011329133285298944,0.010261370768762351,0.002646846330605709,0.011175701888395777,,,,,,
2021-01-02,,,,,0.020727162605252036,0.03826917648675767,0.043250232599602055,0.024587162556533475,,,,,,
2021-01-03,,,,,0.11625440576667895,0.1116988285341454,0.1344617202286457,0.1127431508954574,,,,,,
2021-01-04,-0.013701064199660194,0.0005613158088625206,-0.0037913944403990814,-0.011956531827711928,0.04516079223322002,0.034368607122403645,0.0630505198626702,0.041664417935335776,-0.0038907547941801597,0.00013096281770198965,0.028854770796746303,-0.0055197958939583805,0.0076711071913066805,-0.00284865650034499
2021-01-05,0.012674408604811126,0.0009612418181279435,0.007343429694904564,0.00895401822539631,0.045350216215896605,0.026300523828587614,0.09477202460311146,0.04462842928176988,0.018120376539992038,0.0009234525588220033,0.043824143984217426,0.01299892239553978,0.0032149095825132917,0.007402229851133278
2021-01-06,0.013264430714510802,0.004586685597590175,-0.011171475004017389,0.010388439307243287,0.17477270939392503,0.1217962215029493,0.25610035422072486,0.16720323333859036,0.04018247716107984,0.0043931887678878515,0.10398326351674267,0.02911471343442487,0.010810338805791598,-0.010408554105295887
2021-01-07,0.00967979681270283,0.006910595820126198,0.021184900017743813,0.008798467390234203,0.012463243144315017,0.017843227882406137,-0.016286514021735258,0.014548224565533795,0.010143704534638191,0.007036258627948913,0.018094716758545744,0.00947213579770895,0.012742153427751248,0.020664757234697108
2021-01-08,0.0028657693620504298,-0.0013725399818304374,-0.0024533037843482387,0.0029082537024719335,-0.007003682538939727,-0.002657493535812235,0.006861858351336377,-0.005130206236060453,0.0012208607118854042,-0.0012241276325268289,-0.001260417418162383,0.0018002498678570636,-0.0031409072477321287,-0.0031319673813097674
2021-01-09,,,,,0.08814075491705675,0.0608531313236317,0.03540834542591914,0.08316007363848524,,,,,,
2021-01-10,,,,,-0.026760593955873282,-0.021646359317007077,-0.051278351909118884,-0.027114589425192882,,,,,,
2021-01-11,-8.806647741709266e-05,-0.0001762759793273634,-0.0012361184290257715,-0.0010523487297379721,-0.1287050223078924,-0.1266488908253263,-0.1097974861085908,-0.12679253314313735,-0.021524225782496312,-0.000308105779293854,-0.04461591748611343,-0.01611088547315114,-6.845992117183747e-05,-0.0006066470638124681
2021-01-12,0.003012843574414888,-0.0005301845807793171,-0.013337971016674294,-0.0003944197402882356,-0.01873015718865717,-0.029304114692012353,-0.011955961148471927,-0.020467564849711933,-0.0006109898860971225,-0.0009212181428418603,-0.0174171407853354,-0.0026412166366272362,-0.009015498119325184,-0.012133141151003566
2021-01-13,8.709165777319526e-05,-0.002399521578995636,-0.0002709915601417762,0.00026201316165458497,0.0823859488799264,0.08225054974343307,0.09339109213323063,0.08305326087731568,0.013803567861465395,-0.0025422755288744938,0.042096695560858155,0.01006441862921112,-0.004884034503885104,-0.00046872422181721624
2021-01-14,0.0030886482948785637,0.0028691824871333966,-0.009676713743850556,0.0018351352798665946,0.01972143296946164,0.027157225856295115,0.02889702378115266,0.021317969462289053,0.005860779073975744,0.0028110209078983503,0.02097474627049917,0.00415563016467395,0.00026608505200520407,-0.008626768459241983
2021-01-15,-0.010835450462099163,-0.004399831853076868,-0.009838498999766562,-0.007404251646764902,-0.03879468771114989,-0.03539708038018479,-0.04677840680060536,-0.03927187822254877,-0.015495323336940951,-0.004275669914738912,-0.032910012127568326,-0.011100402173164523,-0.0008306455472063389,-0.010830208579599295
2021-01-16,,,,,0.026781295053940557,0.012935855879836387,0.04502033509128529,0.02443419384115983,,,,,,
2021-01-17,,,,,0.0029297359520326634,-0.00547379663826598,0.018233818245333572,0.0019018132956367061,,,,,,
